id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
94486ffda7820694c27c5665e72d984b,krakow,blockOfFlats,41.0,2.0,9.0,10.0,1980.0,50.07582431,19.9813723,3.82,13.0,0.279,0.843,0.146,0.263,0.075,1.865,0.326,cooperative,,,no,yes,yes,no,yes,660000
95c28215bfd33298fee8999d29c7e5e0,bydgoszcz,,87.0,4.0,1.0,3.0,1920.0,53.12562,17.97733,1.61,12.0,0.112,1.27,0.38,0.156,0.554,0.339,0.16,condominium,,,no,no,no,no,no,560000
83d39d26cff7c66989d87f68328014e9,warszawa,tenement,76.05,3.0,2.0,4.0,1910.0,52.2432,20.9985,1.32,58.0,0.12,0.089,0.381,0.117,0.268,0.132,0.215,condominium,brick,,yes,yes,no,no,no,1250000
a4dd69526071f2de2f603cddcf4b2947,lodz,blockOfFlats,47.66,2.0,4.0,5.0,1965.0,51.7777864,19.4934609,2.69,8.0,0.174,1.55,0.975,0.374,0.087,0.385,0.29,condominium,brick,premium,yes,no,no,no,yes,329000
48a903310297201b966a8f8a7c61e34c,warszawa,,93.0,3.0,4.0,4.0,1997.0,52.194157,21.0346955,4.68,4.0,0.392,0.735,0.783,0.373,0.463,2.017,0.53,condominium,concreteSlab,low,yes,no,no,no,no,1049000
d0a283cd65ca8565d8a1a248f23169b5,gdynia,,60.4,3.0,3.0,3.0,2002.0,54.5436,18.467,5.31,0.0,1.409,2.596,1.325,1.224,1.761,2.008,1.613,condominium,brick,premium,yes,yes,no,yes,yes,599000
7dd0b6f7330a8bb78d6b081737694a83,wroclaw,apartmentBuilding,68.7,3.0,3.0,6.0,2023.0,51.11813,17.02078,1.04,12.0,0.445,0.538,0.811,0.141,0.404,0.521,0.493,condominium,brick,,no,yes,yes,no,no,1348501
3b4d64341c555e7ee9616edecce47a3a,warszawa,blockOfFlats,62.0,3.0,10.0,10.0,1981.0,52.2565907,21.0413722,3.78,46.0,0.346,0.205,0.26,0.218,0.118,0.496,0.186,condominium,,low,no,yes,yes,no,yes,630000
0a4335abbc794070fc273d17cbd33102,warszawa,apartmentBuilding,35.42,2.0,,2.0,2016.0,52.1739637,21.1159274,9.99,1.0,2.052,4.183,1.023,0.581,0.257,4.903,0.929,condominium,brick,premium,no,yes,no,no,no,705000
b8a87f65f0518990692ba5cdd5421b2b,lodz,blockOfFlats,44.47,2.0,4.0,4.0,1967.0,51.79237244,19.39344406,4.39,16.0,0.391,2.66,0.707,0.308,0.053,0.361,0.175,condominium,concreteSlab,premium,no,yes,no,no,yes,414740
ab39e49a7f2a5c3a0a81710772dfa6c0,bydgoszcz,blockOfFlats,52.0,2.0,3.0,4.0,1975.0,53.1058044,18.0548717,4.04,14.0,0.214,0.313,0.449,0.157,0.406,1.66,0.277,condominium,concreteSlab,,no,yes,no,no,yes,1900
1daa2dd7b6634c57507503f6f6081b97,warszawa,tenement,88.0,4.0,3.0,3.0,1939.0,52.2296756,21.0122287,0.63,113.0,0.243,0.131,0.26,0.274,0.059,0.229,0.142,cooperative,brick,,no,yes,yes,no,no,2190000
93b99142582a0d7eb4395c8ff0fa7872,gdansk,,63.0,3.0,2.0,3.0,,54.35347,18.6524,0.47,107.0,0.194,0.381,0.267,0.096,0.007,0.246,0.16,condominium,,,no,yes,no,no,yes,940000
da8de65fb7d1b790f7c5e682d8f9b481,katowice,tenement,84.43,3.0,,4.0,1930.0,50.25624435,19.02365812,0.45,95.0,0.203,0.273,0.303,0.394,0.032,0.32,0.05,condominium,brick,low,no,no,,no,no,489000
d7b54094ea94fe29dc079c2498ebd9c2,bydgoszcz,,56.0,2.0,2.0,2.0,1946.0,53.11348,17.99191,1.12,9.0,0.383,0.438,0.364,0.225,0.461,1.041,0.317,condominium,,,no,no,no,no,no,399000
7c1eef34f0c0d9cb8fcb1183b5af6645,szczecin,blockOfFlats,114.0,4.0,4.0,4.0,2016.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,brick,premium,no,yes,yes,no,no,3600
f6ec2fc0499cc4ab4d63d9babb637f54,lublin,blockOfFlats,48.5,3.0,3.0,3.0,1970.0,51.2415823,22.5223389,3.23,34.0,0.084,0.383,0.37,0.217,0.186,0.183,0.176,condominium,brick,,no,yes,no,no,yes,449000
c3ea9d7964f4b956c51229a3b9ec8c5b,krakow,blockOfFlats,44.0,2.0,1.0,1.0,,50.094234,20.05451,9.35,8.0,0.194,1.799,0.216,0.168,0.194,2.436,0.099,condominium,,,no,yes,no,no,no,550000
0c0fe69350cb892ddf1f32773d58c0a3,gdansk,,55.0,3.0,1.0,4.0,1970.0,54.355919,18.648,0.84,46.0,0.191,0.087,0.226,0.345,0.065,0.092,0.071,cooperative,,,no,yes,no,no,no,1150000
96bb93feb7bc0da0fac1d418be0357f3,krakow,apartmentBuilding,51.66,2.0,4.0,6.0,2007.0,50.0572,19.9305,0.61,40.0,0.192,0.388,0.141,0.581,0.064,0.421,0.149,condominium,brick,,yes,yes,yes,yes,yes,3500
92b57e63a03a7ab134130c49804f763c,gdansk,tenement,61.77,3.0,2.0,4.0,1958.0,54.35701,18.65249,0.86,36.0,0.093,0.13,0.355,0.148,0.011,0.164,0.049,condominium,brick,,no,yes,no,no,yes,895000
c9657f62768f0d4dbfbcba959912b38a,wroclaw,apartmentBuilding,70.7,3.0,6.0,10.0,2022.0,51.11540341,17.02516222,0.61,27.0,0.467,0.324,0.532,0.442,0.159,0.597,0.481,condominium,brick,,no,no,yes,no,no,1200000
6529f6348560d24bd9b217514471dbbc,lodz,blockOfFlats,37.5,2.0,2.0,4.0,,51.7937764,19.4376549,1.8,15.0,0.24,0.608,0.526,0.064,0.365,1.085,0.3,cooperative,concreteSlab,,yes,yes,no,no,yes,250000
c139be6a810d89f550571cc9cb533862,warszawa,,74.0,3.0,,8.0,,52.22498,20.95288,3.53,25.0,0.392,0.269,0.308,0.049,0.114,0.515,0.261,condominium,,,no,yes,yes,no,no,1797900
87e11cb865efbc9253988025e9f1f5ec,warszawa,blockOfFlats,62.0,3.0,5.0,5.0,2023.0,52.16429,20.99195,7.54,11.0,0.999,0.165,0.721,0.297,0.114,3.201,0.111,condominium,,,no,yes,no,no,no,1199000
2b757335ed8e416dba78d89163410a93,warszawa,blockOfFlats,48.0,3.0,15.0,15.0,1970.0,52.235,20.9937,0.76,88.0,0.126,0.086,0.245,0.134,0.118,0.766,0.073,condominium,,,yes,no,yes,no,yes,3500
